              --------------              


ide = 19,  N = 10000,  L = 21.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 1.0,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.0758196931181218, E_P/N = 0.47378692308032844
kin temp = 0.0997514986443084, E_P/N = 0.332974659709536
kin temp = 0.13896013852735634, E_P/N = 0.2738229325531769
kin temp = 0.18762854519645028, E_P/N = 0.25829160059848744
kin temp = 0.23779089316153795, E_P/N = 0.27086423042300306
kin temp = 0.29439253161730394, E_P/N = 0.29364245305407133
kin temp = 0.024109891663543968, E_P/N = 0.20548547300585907
kin temp = 0.004446083375274138, E_P/N = 0.13772344944836315
kin temp = 0.006985996444461428, E_P/N = 0.10604563793020193
kin temp = 0.011944826008477431, E_P/N = 0.07968614790745733
2351.6936647892
