              --------------              


ide = 16,  N = 10000,  L = 46.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.1,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.08401898479281943, E_P/N = 0.06055219559821205
kin temp = 0.019481203707273628, E_P/N = 0.015076571892013765
kin temp = 0.009107006542635045, E_P/N = 0.00601339988538615
kin temp = 0.006902242540351914, E_P/N = 0.0029785658834258796
kin temp = 0.006252719463397176, E_P/N = 0.0018467232326040345
kin temp = 0.006143897627013852, E_P/N = 0.0012614090781551833
kin temp = 0.006074484530953553, E_P/N = 0.0010886569298127256
kin temp = 7.80496206679723e-06, E_P/N = 0.0009348437717268878
kin temp = 0.00020242309737313153, E_P/N = 0.0006425260068242283
kin temp = 0.00020242309737313153, E_P/N = 0.0006425260068242283
1370.669685602188
