              --------------              


ide = 1,  N = 10000,  L = 21.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.001,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.10520030367696925, E_P/N = 0.28144417512832903
kin temp = 0.04300641006071226, E_P/N = 0.1660487160716902
kin temp = 0.03481502742406778, E_P/N = 0.11791179417004427
kin temp = 0.03696830052678596, E_P/N = 0.08925506989253221
kin temp = 0.041963642399926955, E_P/N = 0.07025995066792619
kin temp = 0.046814688815555526, E_P/N = 0.057954203520664285
kin temp = 0.05122957184759085, E_P/N = 0.049280566907948846
kin temp = 0.0534081578121387, E_P/N = 0.04520965019374621
kin temp = 0.00017859883597235108, E_P/N = 0.04293526099795843
kin temp = 0.0009670500832509165, E_P/N = 0.01651843135064433
2246.4502251148224
