              --------------              


ide = 20,  N = 10000,  L = 32.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 1.0,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.10046107606745296, E_P/N = 0.1147784797599267
kin temp = 0.03185119958444293, E_P/N = 0.043192847004757166
kin temp = 0.018228492015137755, E_P/N = 0.02304310036066073
kin temp = 0.015479093446375327, E_P/N = 0.014376607125823738
kin temp = 0.01513036411875772, E_P/N = 0.010148525539901917
kin temp = 0.015739611062454244, E_P/N = 0.007414719157661882
kin temp = 0.016148605148523593, E_P/N = 0.006092080173136093
kin temp = 0.016666560294481273, E_P/N = 0.005046207970279845
kin temp = 0.01696073769982521, E_P/N = 0.0045029787619220015
kin temp = 0.01715491802951702, E_P/N = 0.004173641416556345
1707.3466114997864
