              --------------              


ide = 28,  N = 10000,  L = 46.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 10.0,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.09142023265320631, E_P/N = 0.07718181454093447
kin temp = 0.02385248411634608, E_P/N = 0.021674541376051293
kin temp = 0.012008700933322064, E_P/N = 0.009235835829262167
kin temp = 0.009369400667781275, E_P/N = 0.004845413386173622
kin temp = 0.008792874320423772, E_P/N = 0.002851708001779471
kin temp = 0.008697849322767744, E_P/N = 0.00194330013860721
kin temp = 0.00862986329859753, E_P/N = 0.001653772220165393
kin temp = 0.008683714574062156, E_P/N = 0.0014292804467217176
kin temp = 0.008769391431082338, E_P/N = 0.0012476843079699347
kin temp = 0.00036562051548093445, E_P/N = 0.0006704720116904875
1586.0002281665802
