              --------------              


ide = 15,  N = 10000,  L = 32.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.1,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.02375474598663401, E_P/N = 0.2140837422704639
kin temp = 0.02351048452534021, E_P/N = 0.11543859109624575
kin temp = 0.02743599540347711, E_P/N = 0.06660200146272238
kin temp = 0.03189174554708051, E_P/N = 0.04118633461059102
kin temp = 0.035720083636415996, E_P/N = 0.02797012700840992
kin temp = 0.03871755693664712, E_P/N = 0.021210101515094625
kin temp = 0.040922001768960735, E_P/N = 0.017624081663743574
kin temp = 0.00012781323751477267, E_P/N = 0.008593291506806721
kin temp = 0.00010332159882346116, E_P/N = 0.0058360416897972325
kin temp = 0.00017579614354788545, E_P/N = 0.003503021272021411
1430.832837820053
