              --------------              


ide = 13,  N = 10000,  L = 21.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.1,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.03155809006375158, E_P/N = 0.4010912515960552
kin temp = 0.035009151256966756, E_P/N = 0.26384747622594906
kin temp = 0.04703990325165944, E_P/N = 0.18675011757085655
kin temp = 0.06054784604927997, E_P/N = 0.14098674397144287
kin temp = 0.07270632607854799, E_P/N = 0.11665218426137533
kin temp = 0.08194372733922814, E_P/N = 0.10458274582488303
kin temp = 0.09082209173453186, E_P/N = 0.09752895313699658
kin temp = 0.0005946464839384923, E_P/N = 0.0678085707999814
kin temp = 0.0005594498885188409, E_P/N = 0.055629900164474076
kin temp = 0.0010603988348614043, E_P/N = 0.04389998191076411
2382.5752012729645
