              --------------              


ide = 31,  N = 10000,  L = 32.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.001,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.10342637640901896, E_P/N = 0.10085973832059826
kin temp = 0.028718728046305465, E_P/N = 0.03379769147641898
kin temp = 0.01491646262502781, E_P/N = 0.017704000185870945
kin temp = 0.012440340244286054, E_P/N = 0.010891579267046455
kin temp = 0.012254712266738037, E_P/N = 0.007349650948439371
kin temp = 0.012590967899563103, E_P/N = 0.005374814638600351
kin temp = 0.012994902482153998, E_P/N = 0.004200561646034223
kin temp = 0.01342153269340067, E_P/N = 0.0033445008647937174
kin temp = 0.0008541335805677496, E_P/N = 0.0017599061732656385
kin temp = 0.0012233335100958161, E_P/N = 0.0012014086654292854
1432.1964366436005
