              --------------              


ide = 30,  N = 10000,  L = 21.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.001,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.11002920142264437, E_P/N = 0.24588093109663578
kin temp = 0.04264370331052113, E_P/N = 0.13208209048335365
kin temp = 0.03190355361565559, E_P/N = 0.08908487966601808
kin temp = 0.031951113369131826, E_P/N = 0.0656740331972351
kin temp = 0.03465583604718843, E_P/N = 0.051636370789620537
kin temp = 0.03750329531583311, E_P/N = 0.043205817782884834
kin temp = 0.03944225876503858, E_P/N = 0.03863151088986517
kin temp = 0.040326788013064885, E_P/N = 0.036679684893560105
kin temp = 0.0029684201817591536, E_P/N = 0.01616380742674384
kin temp = 0.00027807644030110004, E_P/N = 0.011530258618741721
1885.1350271701813
