              --------------              


ide = 21,  N = 10000,  L = 32.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 1.0,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.04160699000618123, E_P/N = 0.23491971057696345
kin temp = 0.05079340223966563, E_P/N = 0.14052932552657563
kin temp = 0.0641645625214533, E_P/N = 0.09663245352775059
kin temp = 0.07757402927720138, E_P/N = 0.07769421217901917
kin temp = 0.09237230554775287, E_P/N = 0.07106386757269217
kin temp = 0.0009766212702906841, E_P/N = 0.03207555560834196
kin temp = 0.0012308950390986476, E_P/N = 0.022861077520933134
kin temp = 0.001887093958557764, E_P/N = 0.015233761576332478
kin temp = 0.0027582028247460475, E_P/N = 0.009589765240284931
kin temp = 0.003514631001365124, E_P/N = 0.006510395537473713
1852.647956609726
