              --------------              


ide = 2,  N = 10000,  L = 32.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.001,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.09882628988012553, E_P/N = 0.09857494262102591
kin temp = 0.026858956507750064, E_P/N = 0.035539913095618825
kin temp = 0.01471042807413556, E_P/N = 0.019093045797146362
kin temp = 0.012521064823266086, E_P/N = 0.011958980996268066
kin temp = 0.012501878800455451, E_P/N = 0.008138776671942733
kin temp = 0.012947968981640745, E_P/N = 0.005966655893044043
kin temp = 0.013429860610648969, E_P/N = 0.004660156331305655
kin temp = 0.013699722866291458, E_P/N = 0.00403186678131795
kin temp = 0.013972173335751533, E_P/N = 0.0035395657708591956
kin temp = 0.014209551668562121, E_P/N = 0.003152178170604448
1717.8184666633606
