              --------------              


ide = 14,  N = 10000,  L = 32.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.1,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.0933072800289414, E_P/N = 0.07470023136743559
kin temp = 0.022313596220189795, E_P/N = 0.02110781858534941
kin temp = 0.010949848755081058, E_P/N = 0.009654329165132048
kin temp = 0.008618138393664399, E_P/N = 0.0054803875181047915
kin temp = 0.008202370176201169, E_P/N = 0.0034677727002873446
kin temp = 0.008133508331769164, E_P/N = 0.0025883561615671668
kin temp = 0.00828974284231175, E_P/N = 0.0019879786713784702
kin temp = 0.0001256390612060865, E_P/N = 0.0014726688346067952
kin temp = 0.00045960505374456487, E_P/N = 0.0009700223803733162
kin temp = 0.00045960505374456487, E_P/N = 0.0009700223803733162
1720.9939906597137
