              --------------              


ide = 29,  N = 10000,  L = 46.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 10.0,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.14212297372492994, E_P/N = 0.29113794510665375
kin temp = 0.17639688569136422, E_P/N = 0.23671925799225238
kin temp = 0.23652250114613368, E_P/N = 0.22260300314807555
kin temp = 0.3075585946063704, E_P/N = 0.2412498994719659
kin temp = 0.0187761418835959, E_P/N = 0.21324113894019525
kin temp = 0.013546209313588155, E_P/N = 0.11371489690646595
kin temp = 0.0183500635172298, E_P/N = 0.07732382015470825
kin temp = 0.02596796528730047, E_P/N = 0.062486695203817486
kin temp = 0.03702671678237314, E_P/N = 0.056158221034311305
kin temp = 0.0169519348868723, E_P/N = 0.058559744775297046
1728.9347462654114
