              --------------              


ide = 17,  N = 10000,  L = 46.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 0.1,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.018623876540539316, E_P/N = 0.13788920502474683
kin temp = 0.01630646969147124, E_P/N = 0.06509618321532439
kin temp = 0.01741244149258196, E_P/N = 0.033497116624377224
kin temp = 0.01922749590351597, E_P/N = 0.018406404979680113
kin temp = 0.02055514644725889, E_P/N = 0.011340008970886543
kin temp = 0.02139506680318981, E_P/N = 0.008353505204545732
kin temp = 0.022165264416174897, E_P/N = 0.006766688500255788
kin temp = 0.022695360011846525, E_P/N = 0.0059551666971658715
kin temp = 2.8753188181015696e-05, E_P/N = 0.00176133526937146
kin temp = 3.350390409748331e-05, E_P/N = 0.0010164340500071387
1702.7103290557861
