              --------------              


ide = 18,  N = 10000,  L = 21.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 1.0,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.12691481450930928, E_P/N = 0.1978418285888361
kin temp = 0.04073653586548837, E_P/N = 0.10028622540462022
kin temp = 0.025819782403713857, E_P/N = 0.0685423967985181
kin temp = 0.02462173493171462, E_P/N = 0.05170861034935125
kin temp = 0.026659355558234614, E_P/N = 0.0409403429655962
kin temp = 0.0285421603900384, E_P/N = 0.03486822658848259
kin temp = 0.0299634017101622, E_P/N = 0.03143594466349023
kin temp = 0.030645758557387017, E_P/N = 0.029911492672764144
kin temp = 0.030986986848294474, E_P/N = 0.02921155669171169
kin temp = 0.007391831162367989, E_P/N = 0.017640971719777996
2234.505551099777
